city,state,latitude,longitude,2011,2012,2013,2014,2015,2016,2017
New York,NY,40.7128,-74.006,2800,2800,2800,2779,2800,2928,2756
Los Angeles,CA,34.0522,-118.2437,2469,2391,2382,2561,2787,2882,3076
Chicago,IL,41.8781,-87.6298,1631,1580,1614,1678,1739,1732,1799
Dallas - Fort Worth,TX,32.7767,-96.797,1233,1243,1296,1352,1433,1490,1584
Philadelphia,PA,39.9526,-75.1652,1408,1441,1439,1433,1506,1496,1508
Houston,TX,29.7604,-95.3698,1287,1247,1341,1422,1528,1549,1538
Washington,DC,38.9072,-77.0369,1821,1887,1938,1974,2021,2017,2078
Miami,FL,25.7617,-80.1918,1857,1788,1849,1908,2016,2107,2182
Atlanta,GA,33.749,-84.388,1012,992,995,1016,1107,1191,1319
Boston,MA,42.3601,-71.0589,2134,2346,2570,2635,2729,2800,2897
San Francisco,CA,37.7749,-122.4194,2054,1981,2050,2547,3091,3316,3416
Detroit,MI,42.3314,-83.0458,1129,989,991,1083,1193,1239,1245
Riverside,CA,33.9533,-117.3962,1680,1520,1525,1565,1676,1712,1850
Phoenix,AZ,33.4484,-112.074,1025,1063,1077,1090,1197,1243,1340
Seattle,WA,47.6062,-122.3321,1502,1477,1519,1608,1744,1911,2190
Minneapolis - Saint Paul,MN,44.9778,-93.265,1353,1351,1389,1423,1483,1509,1607
San Diego,CA,32.7157,-117.1611,2210,2074,2129,2289,2412,2507,2697
Saint Louis,MO,38.627,-90.1994,1115,1089,991,1013,1042,1100,1124
Tampa,FL,27.9506,-82.4572,1211,1199,1228,1282,1333,1383,1452
Baltimore,MD,39.2904,-76.6122,1455,1488,1559,1619,1614,1591,1646
Denver,CO,39.7392,-104.9903,1424,1480,1570,1761,1961,1987,2056
Pittsburgh,PA,40.4406,-79.9959,1120,1152,1290,1273,1314,1292,1329
Portland,OR,45.5231,-122.6765,1285,1313,1346,1456,1580,1691,1792
